종목명,날짜,지분율(퍼센트)
디엘이앤씨,2025-12-04,8.06
한화비전,2025-12-04,7.44
CJ제일제당(주),2025-12-05,7.81
(주)엘앤에프,2025-12-08,8.37
감성코퍼레이션(주),2025-12-09,4.03
(주)녹십자,2025-12-11,7.69
엘아이지넥스원(주),2025-12-12,8.66
한세실업(주),2025-12-12,6.1
S-Oil(주),2025-12-12,8.31
한올바이오파마(주),2025-12-12,8.3
삼화전기(주),2025-12-15,7.29
(주)달바글로벌,2025-12-15,6.28
(주)제이에스코퍼레이션,2025-12-16,6.08
코오롱인더스트리(주),2025-12-16,7.74
(주)코리아써키트,2025-12-16,5.05
HL홀딩스,2025-12-16,8.41
(주)한섬,2025-12-17,6.29
(주)더존비즈온,2025-12-17,8.22
STX엔진(주),2025-12-17,6.5
(주)오스코텍,2025-12-17,3.87
해성디에스(주),2025-12-18,7.19
(주)에스투더블유,2025-12-19,5.41
현대엘리베이터(주),2025-12-19,10.28
대상(주),2025-12-19,11.68
에이치디씨현대산업개발,2025-12-22,10.45
(주)케이씨텍,2025-12-22,7.52
(주)에이치브이엠,2025-12-22,4.46
브이엠(주),2025-12-23,5.05
KG스틸,2025-12-24,4
현대위아(주),2025-12-26,9.36
아이에스동서(주),2025-12-26,4.89
피에스케이(주),2025-12-29,8.14
(주)에스티아이,2025-12-29,7.43
(주)태광,2025-12-29,6.65
HL만도,2025-12-30,13.05
하나머티리얼즈,2025-12-30,5.01
덴티움,2025-12-30,5.78
코스모신소재(주),2025-12-30,4
롯데관광개발(주),2025-12-30,10.38
한온시스템(주),2025-12-31,5.3
