종목명,날짜,지분율(퍼센트)
(주)한솔케미칼,2022-10-21,11.85
(주)케이씨씨,2022-10-24,9.05
삼성생명보험(주),2022-10-24,6.87
키움증권(주),2022-10-25,10.26
(주)인터로조,2022-10-25,10.56
코스맥스(주),2022-10-27,11.15
(주)원익머트리얼즈,2022-10-27,9.72
(주)현대백화점,2022-10-27,8.05
롯데정밀화학(주),2022-10-28,9.95
(주)원익큐엔씨,2022-11-01,6.54
(주)케이티,2022-11-02,10.63
롯데정보통신,2022-11-03,7.05
(주)천보,2022-11-03,5
코오롱글로벌(주),2022-11-03,4.75
삼성에스디에스(주),2022-11-04,7.73
(주)현대그린푸드,2022-11-07,7.78
해성디에스(주),2022-11-08,8.23
에스티팜(주),2022-11-09,7.13
자화전자(주),2022-11-09,4.03
SK네트웍스(주),2022-11-09,5.37
롯데관광개발(주),2022-11-10,4.03
(주)제이시스메디칼,2022-11-10,4.17
한국앤컴퍼니(주),2022-11-10,6.01
HL만도,2022-11-11,11.55
그랜드코리아레저(주),2022-11-11,8.94
(주)한국카본,2022-11-14,7.44
현대해상화재보험(주),2022-11-14,10.76
현대엘리베이터(주),2022-11-15,5.01
(주)DGB금융지주,2022-11-15,9.57
에스엘(주),2022-11-15,7.24
(주)태광,2022-11-16,8.05
대동,2022-11-16,5.8
한화시스템,2022-11-17,5.99
(주)지에스리테일,2022-11-17,9.29
한국가스공사(주),2022-11-17,8.92
덴티움,2022-11-18,7.31
제이알글보벌위탁관리부동산,2022-11-21,4.51
콘텐트리중앙,2022-11-21,10.95
한국투자금융지주(주),2022-11-23,8.54
(주)아프리카티비,2022-11-23,8.55
(주)와이지엔터테인먼트,2022-11-23,6.25
(주)신세계푸드,2022-11-24,7.48
(주)유진테크,2022-11-25,5.03
(주)이수페타시스,2022-11-25,8.92
대주전자재료(주),2022-11-25,5.06
레이,2022-11-28,5.01
(주)현대미포조선,2022-11-28,9.01
(주)두산,2022-11-30,13.78
메리츠화재해상보험(주),2022-12-01,6.1
디엘이앤씨,2022-12-01,10.82
(주)엘엑스홀딩스,2022-12-01,5.01
아세아제지(주),2022-12-02,6.12
(주)두산테스나,2022-12-02,7.3
(주)파마리서치,2022-12-05,7.12
(주)아모레퍼시픽,2022-12-05,7.39
더네이쳐홀딩스,2022-12-08,6.23
한국전력기술(주),2022-12-08,6.46
엘에스일렉트릭,2022-12-12,13.17
한솔제지(주),2022-12-12,7.6
현대두산인프라코어,2022-12-12,8.36
한미사이언스(주),2022-12-12,6.07
(주)SBS,2022-12-13,13.73
서진시스템,2022-12-14,5.3
한화생명보험(주),2022-12-15,6.12
