기준년월,구분,기간수익률,연환산수익률,전년도수익률,전년도수익금,3개년수익률,3개년수익금,5개년수익률,5개년수익금,설정후수익률,설정후수익금
2023-06,금융부문(해외채권),6.21,6.92,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-06,기금 전체,9.09,9.57,-8.22,-79552,3.28,83806,,,5.11,451284
2023-06,기타부문,0.83,1.68,1.15,16,0.75,30,,,1.43,241
2023-06,복지부문,1.24,1.29,-0.27,-1,-1.72,-9,,,5.83,599
2023-07,금융부문(국내주식),20.68,20.68,-22.76,-37456,4.41,20379,,,5.22,77626
2023-07,금융부문(국내채권),2.92,3.91,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-07,금융부문(단기자금),2.85,2.85,-0.86,-31,0.13,14,,,3.09,1586
2023-07,금융부문(대체투자),3.4,3.4,8.94,11620,11.56,36145,,,9.94,79289
2023-07,금융부문(전체),9.76,10.15,-8.24,-79567,3.28,83785,,,5.04,431361
2023-07,금융부문(해외주식),19.07,19.07,-12.34,-32844,6.93,44097,,,8.5,107598
2023-07,금융부문(해외채권),3.98,4.56,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-07,기금 전체,9.74,10.14,-8.22,-79552,3.28,83806,,,5.11,451284
2023-07,기타부문,0.99,1.71,1.15,16,0.75,30,,,1.43,241
2023-07,복지부문,1.46,1.5,-0.27,-1,-1.72,-9,,,5.83,599
2023-08,금융부문(국내주식),17.25,17.25,-22.76,-37456,4.41,20379,,,5.22,77626
2023-08,금융부문(국내채권),3.05,3.84,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-08,금융부문(단기자금),2.92,2.92,-0.86,-31,0.13,14,,,3.09,1586
2023-08,금융부문(대체투자),6.37,6.37,8.94,11620,11.56,36145,,,9.94,79289
2023-08,금융부문(전체),10.28,10.6,-8.24,-79567,3.28,83785,,,5.04,431361
2023-08,금융부문(해외주식),20.15,20.15,-12.34,-32844,6.93,44097,,,8.5,107598
2023-08,금융부문(해외채권),6.85,7.34,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-08,기금 전체,10.27,10.59,-8.22,-79552,3.28,83806,,,5.11,451284
2023-08,기타부문,1.11,1.67,1.15,16,0.75,30,,,1.43,241
2023-08,복지부문,1.69,1.72,-0.27,-1,-1.72,-9,,,5.83,599
2023-09,금융부문(국내주식),13.43,13.43,-22.76,-37456,4.41,20379,,,5.22,77626
2023-09,금융부문(국내채권),2.54,3.15,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-09,금융부문(단기자금),3.64,3.64,-0.86,-31,0.13,14,,,3.09,1586
2023-09,금융부문(대체투자),7.39,7.39,8.94,11620,11.56,36145,,,9.94,79289
2023-09,금융부문(전체),8.68,8.92,-8.24,-79567,3.28,83785,,,5.04,431361
2023-09,금융부문(해외주식),16.07,16.07,-12.34,-32844,6.93,44097,,,8.5,107598
2023-09,금융부문(해외채권),7.25,7.63,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-09,기금 전체,8.66,8.91,-8.22,-79552,3.28,83806,,,5.11,451284
2023-09,기타부문,1.25,1.67,1.15,16,0.75,30,,,1.43,241
2023-09,복지부문,1.9,1.93,-0.27,-1,-1.72,-9,,,5.83,599
2023-10,금융부문(국내주식),5.49,5.49,-22.76,-37456,4.41,20379,,,5.22,77626
2023-10,금융부문(국내채권),1.81,2.21,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-10,금융부문(단기자금),4.08,4.08,-0.86,-31,0.13,14,,,3.09,1586
2023-10,금융부문(대체투자),8.18,8.18,8.94,11620,11.56,36145,,,9.94,79289
2023-10,금융부문(전체),6.76,6.92,-8.24,-79567,3.28,83785,,,5.04,431361
2023-10,금융부문(해외주식),13.51,13.51,-12.34,-32844,6.93,44097,,,8.5,107598
2023-10,금융부문(해외채권),6.91,7.17,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-10,기금 전체,6.75,6.92,-8.22,-79552,3.28,83806,,,5.11,451284
2023-10,기타부문,1.38,1.65,1.15,16,0.75,30,,,1.43,241
2023-10,복지부문,2.12,2.14,-0.27,-1,-1.72,-9,,,5.83,599
2023-11,금융부문(국내주식),16.5,16.5,-22.76,-37456,4.41,20379,,,5.22,77626
2023-11,금융부문(국내채권),4.76,4.96,-5.56,-18628,-1.8,-17596,,,3.33,151114
2023-11,금융부문(단기자금),3.95,3.95,-0.86,-31,0.13,14,,,3.09,1586
2023-11,금융부문(대체투자),4.9,4.9,8.94,11620,11.56,36145,,,9.94,79289
2023-11,금융부문(전체),9.9,9.98,-8.24,-79567,3.28,83785,,,5.04,431361
2023-11,금융부문(해외주식),17.76,17.76,-12.34,-32844,6.93,44097,,,8.5,107598
2023-11,금융부문(해외채권),5.71,5.84,-4.91,-3282,-0.09,-134,,,3.24,13800
2023-11,기금 전체,9.88,9.97,-8.22,-79552,3.28,83806,,,5.11,451284
2023-11,기타부문,1.49,1.63,1.15,16,0.75,30,,,1.43,241
2023-11,복지부문,2.36,2.37,-0.27,-1,-1.72,-9,,,5.83,599
2023-12,금융부문(국내주식),22.12,22.12,-22.76,-37456,0.21,957,,,6.53,105064
2023-12,금융부문(국내채권),7.4,7.4,-5.56,-18628,0.15,1519,,,3.61,175606
2023-12,금융부문(단기자금),4.23,4.23,-0.86,-31,1.63,197,,,3.18,1767
2023-12,금융부문(대체투자),5.8,5.8,8.94,11620,11.39,42870,,,9.28,88122
2023-12,금융부문(전체),13.61,13.61,-8.24,-79567,5.04,13833,,,5.88,558047
2023-12,금융부문(해외주식),23.89,23.89,-12.34,-32844,11.96,85556,,,11.04,167506
2023-12,금융부문(해외채권),8.84,8.84,-4.91,-3282,3.47,6526,,,4.02,19886
2023-12,기금 전체,13.59,13.59,-8.22,-79552,5.04,138378,,,5.92,577999
2023-12,기타부문,2.09,2.09,1.15,16,1.22,50,,,1.48,269
2023-12,복지부문,0.94,0.94,-0.27,-1,-0.46,-3,,,5.74,601
2024-01,금융부문(국내주식),-5.98,-5.98,22.12,27438,0.21,957,,,6.53,105064
2024-01,금융부문(국내채권),-0.58,1.77,7.4,24492,0.15,1519,,,3.61,175606
2024-01,금융부문(단기자금),0.54,0.54,4.23,181,1.63,197,,,3.18,1767
2024-01,금융부문(대체투자),2.55,2.55,5.8,8833,11.39,42870,,,9.28,88122
2024-01,금융부문(전체),1.1,1.96,13.61,126686,5.04,138331,,,5.88,558047
2024-01,금융부문(해외주식),5.17,5.17,23.89,59907,11.96,85556,,,11.04,167506
2024-01,금융부문(해외채권),2.56,4.16,8.84,6087,3.47,6526,,,4.02,19886
2024-01,기금 전체,1.09,1.96,13.59,126715,5.04,138378,,,5.92,577999
2024-01,기타부문,0.12,1.45,2.09,28,1.22,50,,,1.48,269
2024-01,복지부문,0.01,0.1,0.94,2,-0.46,-3,,,5.74,601
2024-02,금융부문(국내주식),0.35,0.35,22.12,27438,0.21,957,,,6.53,105064
2024-02,금융부문(국내채권),-0.8,1.36,7.4,24492,0.15,1519,,,3.61,175606
2024-02,금융부문(단기자금),0.95,0.95,4.23,181,1.63,197,,,3.18,1767
2024-02,금융부문(대체투자),2.91,2.91,5.8,8833,11.39,42870,,,9.28,88122
2024-02,금융부문(전체),2.95,3.74,13.61,126686,5.04,138331,,,5.88,558047
2024-02,금융부문(해외주식),8.39,8.39,23.89,59907,11.96,85556,,,11.04,167506
2024-02,금융부문(해외채권),2.34,3.78,8.84,6087,3.47,6526,,,4.02,19886
2024-02,기금 전체,2.95,3.74,13.59,126715,5.04,138378,,,5.92,577999
2024-02,기타부문,0.25,1.54,2.09,28,1.22,50,,,1.48,269
2024-02,복지부문,0.27,0.38,0.94,2,-0.46,-3,,,5.74,601
2024-03,금융부문(국내주식),5.53,5.53,22.12,27438,0.21,957,,,6.53,105064
2024-03,금융부문(국내채권),-0.01,1.93,7.4,24492,0.15,1519,,,3.61,175606
2024-03,금융부문(단기자금),1.3,1.3,4.23,181,1.63,197,,,3.18,1767
2024-03,금융부문(대체투자),4.11,4.11,5.8,8833,11.39,42870,,,9.28,88122
2024-03,금융부문(전체),5.83,6.54,13.61,126686,5.04,138331,,,5.88,558047
2024-03,금융부문(해외주식),13.45,13.45,23.89,59907,11.96,85556,,,11.04,167506
2024-03,금융부문(해외채권),4.48,5.79,8.84,6087,3.47,6526,,,4.02,19886
2024-03,기금 전체,5.82,6.53,13.59,126715,5.04,138378,,,5.92,577999
2024-03,기타부문,0.39,1.56,2.09,28,1.22,50,,,1.48,269
2024-03,복지부문,0.51,0.6,0.94,2,-0.46,-3,,,5.74,601
2024-04,금융부문(국내주식),3.71,3.71,22.12,27438,0.21,957,,,6.53,105064
2024-04,금융부문(국내채권),-0.61,1.13,7.4,24492,0.15,1519,,,3.61,175606
2024-04,금융부문(단기자금),2.1,2.1,4.23,181,1.63,197,,,3.18,1767
2024-04,금융부문(대체투자),6.47,6.47,5.8,8833,11.39,42870,,,9.28,88122
2024-04,금융부문(전체),5.88,6.52,13.61,126686,5.04,138331,,,5.88,558047
2024-04,금융부문(해외주식),13.75,13.75,23.89,59907,11.96,85556,,,11.04,167506
2024-04,금융부문(해외채권),5.46,6.74,8.84,6087,3.47,6526,,,4.02,19886
2024-04,기금 전체,5.87,6.52,13.59,126715,5.04,138378,,,5.92,577999
2024-04,기타부문,0.52,1.58,2.09,28,1.22,50,,,1.48,269
2024-04,복지부문,0.76,0.83,0.94,2,-0.46,-3,,,5.74,601
2024-05,금융부문(국내주식),2.23,2.23,22.12,27438,0.21,957,,,6.53,105064
2024-05,금융부문(국내채권),0.04,1.57,7.4,24492,0.15,1519,,,3.61,175606
2024-05,금융부문(단기자금),2.48,2.48,4.23,181,1.63,197,,,3.18,1767
2024-05,금융부문(대체투자),6.76,6.76,5.8,8833,11.39,42870,,,9.28,88122
2024-05,금융부문(전체),6.68,7.24,13.61,126686,5.04,138331,,,5.88,558047
2024-05,금융부문(해외주식),16.13,16.13,23.89,59907,11.96,85556,,,11.04,167506
2024-05,금융부문(해외채권),5.77,6.89,8.84,6087,3.47,6526,,,4.02,19886
2024-05,기금 전체,6.67,7.23,13.59,126715,5.04,138378,,,5.92,577999
2024-05,기타부문,0.65,1.56,2.09,28,1.22,50,,,1.48,269
2024-05,복지부문,0.98,1.04,0.94,2,-0.46,-3,,,5.74,601
2024-06,금융부문(국내주식),8.61,8.61,22.12,27438,0.21,957,,,6.53,105064
2024-06,금융부문(국내채권),1.66,2.98,7.4,24492,0.15,1519,,,3.61,175606
2024-06,금융부문(단기자금),2.99,2.99,4.23,181,1.63,197,,,3.18,1767
2024-06,금융부문(대체투자),7.79,7.79,5.8,8833,11.39,42870,,,9.28,88122
2024-06,금융부문(전체),9.73,10.21,13.61,126686,5.04,138331,,,5.88,558047
2024-06,금융부문(해외주식),20.47,20.47,23.89,59907,11.96,85556,,,11.04,167506
2024-06,금융부문(해외채권),7.95,8.93,8.84,6087,3.47,6526,,,4.02,19886
2024-06,기금 전체,9.71,10.2,13.59,126715,5.04,138378,,,5.92,577999
2024-06,기타부문,0.83,1.67,2.09,28,1.22,50,,,1.48,269
2024-06,복지부문,1.18,1.23,0.94,2,-0.46,-3,,,5.74,601
2024-07,금융부문(국내주식),7.62,7.62,22.12,27438,0.21,957,,,6.53,105064
2024-07,금융부문(국내채권),3.13,4.22,7.4,24492,0.15,1519,,,3.61,175606
2024-07,금융부문(단기자금),3.35,3.35,4.23,181,1.63,197,,,3.18,1767
2024-07,금융부문(대체투자),7.96,7.96,5.8,8833,11.39,42870,,,9.28,88122
2024-07,금융부문(전체),9.89,10.3,13.61,126686,5.04,138331,,,5.88,558047
2024-07,금융부문(해외주식),19.6,19.6,23.89,59907,11.96,85556,,,11.04,167506
2024-07,금융부문(해외채권),9.07,9.91,8.84,6087,3.47,6526,,,4.02,19886
2024-07,기금 전체,9.88,10.29,13.59,126715,5.04,138378,,,5.92,577999
