종목명,섹터,변동일자,매수매도,기준주가,90일후_주가,180일후_주가,270일후_주가,360일후_주가
테스,산업재,2025-03-27,매수,22361.54,25647.12,43448.08,39770.19,60100.0
대한유화,소재,2025-03-27,매수,98133.34,85742.77,112109.9,144523.64,134700.0
LG화학,소재,2025-03-26,매수,269257.28,209651.75,293115.0,343789.12,288146.97
명신산업,정보기술,2025-03-26,매도,9006.4,8439.93,8895.07,9063.27,9844.93
한세실업,기타,2025-03-26,매도,10907.09,10145.25,10325.9,13977.05,11295.74
이수페타시스,정보기술,2025-03-24,매수,37730.64,45508.8,76546.6,121157.2,129241.0
한국콜마,소재,2025-03-24,매수,64690.13,87737.23,79824.06,62118.35,69042.38
덕산네오룩스,정보기술,2025-03-21,매수,29500.0,36350.0,47000.0,38250.0,47600.0
미래에셋증권,금융,2025-03-21,매수,9433.46,19709.02,21745.15,21152.1,70900.0
한올바이오파마,기타,2025-03-21,매도,28550.0,25750.0,32200.0,43500.0,53600.0
POSCO홀딩스,소재,2025-03-19,매수,302332.41,251727.8,280906.31,316044.28,333500.0
피에스케이,산업재,2025-03-18,매수,19482.77,19080.56,28743.46,29773.52,64100.0
에스앤에스텍,정보기술,2025-03-17,매수,34210.65,40335.7,53780.93,47556.29,86200.0
SKC,소재,2025-03-14,매수,136500.0,94600.0,98700.0,114500.0,96800.0
동성화인텍,소재,2025-03-14,매수,24374.29,27131.78,31809.68,26245.45,26100.0
오리온홀딩스,금융,2025-03-14,매도,14460.0,20800.6,20178.97,19318.25,22282.94
한화엔진,산업재,2025-03-14,매도,23350.0,29050.0,45700.0,46400.0,48050.0
산일전기,에너지 / 유틸리티,2025-03-13,매수,64900.0,69400.0,104800.0,148000.0,138400.0
롯데케미칼,소재,2025-03-12,매수,72849.05,65987.15,62817.9,72459.25,70769.53
성광벤드,소재,2025-03-12,매도,27341.29,34387.5,35082.2,27291.67,35850.0
한솔제지,소재,2025-03-12,매도,8002.7,8373.44,8137.7,8116.63,7807.79
해성디에스,정보기술,2025-03-11,매수,27000.82,21246.54,22230.18,52821.27,58300.0
신세계,기타,2025-03-10,매수,152893.08,175154.95,167967.59,238265.88,332292.28
코스모신소재,소재,2025-03-10,매수,50500.0,35000.0,40950.0,50600.0,49050.0
한솔케미칼,소재,2025-03-07,매수,118172.72,138017.94,160806.27,243240.53,311605.47
이마트,기타,2025-03-07,매수,81359.21,84585.72,72112.24,80103.06,98228.57
금호석유화학,소재,2025-03-07,매수,121195.84,116166.55,105121.86,117645.76,138500.0
현대제철,소재,2025-03-07,매수,30534.08,27747.86,32282.14,30015.0,40808.57
카카오뱅크,금융,2025-03-07,매수,22671.32,23851.61,23458.18,21589.39,25500.0
일진전기,기타,2025-03-07,매수,26941.45,29318.63,35905.42,53090.5,83200.0
화승엔터프라이즈,기타,2025-03-06,매도,8712.0,7672.5,6702.3,4935.15,5220.0
넥센타이어,기타,2025-03-06,매도,5021.53,6564.31,5601.54,7128.35,8246.71
세아제강,소재,2025-03-05,매수,167179.38,150316.45,126400.29,113625.79,124575.36
HL만도,정보기술,2025-03-05,매수,40464.97,33061.41,35130.82,50454.37,56761.17
영원무역홀딩스,금융,2025-03-05,매도,83674.18,120737.25,128162.78,163578.3,239430.73
디아이,기타,2025-03-04,매수,12254.46,14744.88,12560.82,21050.0,36000.0
실리콘투,기타,2025-03-04,매도,25546.92,51490.69,43801.81,43553.78,43504.17
