종목명,섹터,변동일자,매수매도,90일_수익률,90일_시장수익률,90일_초과수익률,180일_수익률,180일_시장수익률,180일_초과수익률,270일_수익률,270일_시장수익률,270일_초과수익률,360일_수익률,360일_시장수익률,360일_초과수익률
SK디앤디,기타,2022-08-23,매수,-0.209853959596804,0.0010347710957415892,-0.2108887306925456,-0.23073173071174777,-0.004816567725828366,-0.2259151629859194,-0.21201486598350508,0.05069927248233686,-0.26271413846584196,-0.22986630239966935,0.04202281408615988,-0.27188911648582925
레이,헬스케어,2022-08-23,매수,-0.0025,0.0010347710957415892,-0.003534771095741589,0.3,-0.004816567725828366,0.3048165677258284,0.7975,0.05069927248233686,0.7468007275176631,0.3775,0.04202281408615988,0.3354771859138401
삼성증권,금융,2022-08-23,매도,0.044444460673016745,0.0010347710957415892,0.04340968957727515,0.026212221493640414,-0.004816567725828366,0.03102878921946878,0.12120297051033099,0.05069927248233686,0.07050369802799414,0.14144692976914938,0.04202281408615988,0.0994241156829895
대상,필수소비재,2022-08-19,매수,-0.12291663647934045,-0.029959575156184224,-0.09295706132315623,-0.1298864634643891,-0.013531558782526015,-0.11635490468186307,-0.1665908550442951,0.025831586852885655,-0.19242244189718077,-0.21884092600226895,0.004737877101187868,-0.22357880310345682
기아,자유소비재,2022-08-19,매도,-0.14119166310021933,-0.029959575156184224,-0.11123208794403511,0.04953474516898861,-0.013531558782526015,0.06306630395151464,0.21669321254256205,0.025831586852885655,0.1908616256896764,0.0741975524758712,0.004737877101187868,0.06945967537468334
이오테크닉스,산업재,2022-08-19,매도,-0.11082489584048685,-0.029959575156184224,-0.08086532068430263,0.004917041575510419,-0.013531558782526015,0.018448600358036436,0.16042439354094842,0.025831586852885655,0.13459280668806278,1.165341658728736,0.004737877101187868,1.160603781627548
신세계,기타,2022-08-17,매도,-0.055803618638931754,-0.03853412591131802,-0.01726949272761373,-0.052866554063178514,-0.02593315657464045,-0.026933397488538065,-0.04832404117510741,0.008472212507037379,-0.05679625368214479,-0.08466487290302584,-0.004756651516799336,-0.0799082213862265
현대오토에버,정보기술,2022-08-16,매수,-0.16483506078362878,-0.035144793953108024,-0.12969026683052076,-0.137517609383032,-0.032488418468853836,-0.10502919091417817,-0.07898166695132285,0.0016854098244070855,-0.08066707677572993,0.13367515104942262,-0.005395624178856577,0.1390707752282792
삼성전자,정보기술,2022-08-16,매도,0.0200760724399151,-0.035144793953108024,0.05522086639302312,0.0397411625367019,-0.032488418468853836,0.07222958100555574,0.14265413191442258,0.0016854098244070855,0.14096872209001549,0.11981533142872858,-0.005395624178856577,0.12521095560758516
한샘,필수소비재,2022-08-16,매도,-0.1959579363388626,-0.035144793953108024,-0.1608131423857546,-0.17926187947559305,-0.032488418468853836,-0.14677346100673921,-0.16520212935420256,0.0016854098244070855,-0.16688753917860966,0.05630913915599451,-0.005395624178856577,0.06170476333485109
케이카,자유소비재,2022-08-12,매수,-0.38539474644022215,-0.019972780764043102,-0.365421965676179,-0.3829558723823666,-0.024644592147022505,-0.3583112802353441,-0.34903450455067947,-0.019221122683385546,-0.3298133818672939,-0.41492727936075596,0.02504809047170287,-0.43997536983245883
이녹스첨단소재,정보기술,2022-08-11,매도,-0.10256407875271976,-0.017216219586292613,-0.08534785916642715,0.07684249920368783,-0.028164133680383747,0.10500663288407157,0.10590496815215646,-0.019161775931537155,0.12506674408369362,0.19921109836048523,0.026737663221604112,0.1724734351388811
솔루엠,정보기술,2022-08-10,매수,-0.05596101643178749,-0.0025111979471119155,-0.053449818484675574,0.07055961302867865,-0.00449433381317506,0.07505394684185371,0.23114360272232667,-0.0022008163213892503,0.23334441904371592,0.41119226057357294,0.04449233020826076,0.3666999303653122
오리온,필수소비재,2022-08-10,매수,-0.018779204340304962,-0.0025111979471119155,-0.016268006393193046,0.14464569451185602,-0.00449433381317506,0.1491400283250311,0.35370879736301863,-0.0022008163213892503,0.3559096136844079,0.12383385055648978,0.04449233020826076,0.07934152034822903
한전KPS,통신서비스,2022-08-10,매수,-0.1704682600900518,-0.0025111979471119155,-0.1679570621429399,-0.18465814461849409,-0.00449433381317506,-0.180163810805319,-0.081181887349283,-0.0022008163213892503,-0.07898107102789374,-0.1534905213259436,0.04449233020826076,-0.19798285153420436
현대제철,소재,2022-08-10,매도,-0.02058820434845128,-0.0025111979471119155,-0.018077006401339364,0.01789310051808,-0.00449433381317506,0.022387434331255063,0.05733441269316965,-0.0022008163213892503,0.0595352290145589,0.052783501736211304,0.04449233020826076,0.008291171527950544
롯데정밀화학,소재,2022-08-10,매도,-0.06528184362823265,-0.0025111979471119155,-0.06277064568112074,-0.08402871767579734,-0.00449433381317506,-0.07953438386262228,-0.027370791942445964,-0.0022008163213892503,-0.025169975621056714,-0.027370726052858715,0.04449233020826076,-0.07186305626111947
SBS,통신서비스,2022-08-09,매수,-0.2808460561912283,-0.008108797082787377,-0.27273725910844093,-0.08170513424676727,-0.013473345288142232,-0.06823178895862504,-0.18199262192471044,-0.011200514288233121,-0.1707921076364773,-0.3777343879159611,0.03918580651855654,-0.4169201944345176
셀트리온,기타,2022-08-09,매수,-0.09219864123755292,-0.008108797082787377,-0.08408984415476554,-0.18390380209379834,-0.013473345288142232,-0.1704304568056561,-0.17897571287771308,-0.011200514288233121,-0.16777519858947995,-0.23072109750843425,0.03918580651855654,-0.2699069040269908
피에이치에이,정보기술,2022-08-09,매도,-0.09129220667990733,-0.008108797082787377,-0.08318340959711995,0.047393162594813854,-0.013473345288142232,0.060866507882956083,0.36955694103934356,-0.011200514288233121,0.38075745532757665,0.320437653491688,0.03918580651855654,0.2812518469731315
하나투어,기타,2022-08-09,매도,0.0392155852961178,-0.008108797082787377,0.047324382378905176,0.24509805140273466,-0.013473345288142232,0.2585713966908769,0.08235300280811532,-0.011200514288233121,0.09355351709634845,0.03529411869166297,0.03918580651855654,-0.0038916878268935723
하이트진로,기타,2022-08-08,매도,-0.1273885093524542,-0.003987078399387058,-0.12340143095306713,-0.15724519985169036,-0.00937391852395743,-0.14787128132773292,-0.24630348506803573,-0.0008423639541084974,-0.24546112111392723,-0.33041401439915896,0.04493201842820488,-0.37534603282736384
코리아써키트,정보기술,2022-08-08,매도,-0.18701302822724933,-0.003987078399387058,-0.18302594982786227,-0.15584419018937443,-0.00937391852395743,-0.14647027166541698,-0.2597403000298431,-0.0008423639541084974,-0.25889793607573464,-0.12415589525096166,0.04493201842820488,-0.16908791367916653
신세계푸드,기타,2022-08-08,매도,-0.20719998358999772,-0.003987078399387058,-0.20321290519061067,-0.18269017924598083,-0.00937391852395743,-0.17331626072202339,-0.272870539150724,-0.0008423639541084974,-0.27202817519661554,-0.32811613933802625,0.04493201842820488,-0.3730481577662311
진성티이씨,산업재,2022-08-05,매수,0.11881172725746872,-0.026654141407290128,0.14546586866475886,0.17837343100936068,-0.015693787989532183,0.19406721899889287,0.14901530934872578,0.00899707389997782,0.14001823544874797,0.5256088604751415,0.04496547205894504,0.4806433884161965
