종목명,섹터,변동일자,매수매도,90일_종목수익률,90일_시장수익률,90일_초과수익률,180일_종목수익률,180일_시장수익률,180일_초과수익률,270일_종목수익률,270일_시장수익률,270일_초과수익률,360일_종목수익률,360일_시장수익률,360일_초과수익률
이마트,기타,2025-11-24,매도,0.4484536648240865,0.5200204247168019,-0.07156675989271538,,,,,,,,,
한국카본,소재,2025-11-21,매수,0.3905758686842314,0.4733628111291974,-0.08278694244496604,,,,,,,,,
파라다이스,기타,2025-11-21,매수,0.1243108365151609,0.4733628111291974,-0.34905197461403653,,,,,,,,,
비나텍,기타,2025-11-21,매도,1.2306967144746999,0.4733628111291974,0.7573339033455024,,,,,,,,,
진성티이씨,산업재,2025-11-20,매수,0.38590599436403933,0.4175936331106338,-0.03168763874659447,,,,,,,,,
테스,산업재,2025-11-17,매수,0.5644199699631367,0.388335269303662,0.17608470065947468,,,,,,,,,
세아제강지주,금융,2025-11-17,매수,0.05315379178928701,0.388335269303662,-0.335181477514375,,,,,,,,,
이수페타시스,정보기술,2025-11-14,매수,-0.026102610261026074,0.37658570719910445,-0.4026883174601305,0.20042064326673145,0.9553465680416223,-0.7549259247748908,,,,,,
경동나비엔,기타,2025-11-13,매수,0.008857836684406603,0.28385648806701436,-0.27499865138260776,0.1661877565531967,0.8326128467648936,-0.6664250902116968,,,,,,
하나투어,기타,2025-11-13,매도,0.1182409610132183,0.28385648806701436,-0.16561552705379606,-0.11700542510991471,0.8326128467648936,-0.9496182718748083,,,,,,
한국콜마,소재,2025-11-13,매도,0.12385320604549735,0.28385648806701436,-0.160003282021517,0.5473767018245288,0.8326128467648936,-0.28523614494036476,,,,,,
코스맥스,소재,2025-11-12,매도,0.31329118952113894,0.2773955620465367,0.03589562747460223,0.37015741822202586,0.8846999864352926,-0.5145425682132667,,,,,,
한화엔진,산업재,2025-11-12,매도,0.28994082840236685,0.2773955620465367,0.012545266355830142,0.855621301775148,0.8846999864352926,-0.029078684660144627,,,,,,
디어유,정보기술,2025-11-05,매수,0.010989129646313529,0.3205608256111533,-0.30957169596483974,-0.10156645833344866,0.7323333640610985,-0.8338998223945472,,,,,,
TCC스틸,소재,2025-11-05,매도,-0.07583717367438463,0.3205608256111533,-0.3963979992855379,0.12658775289724192,0.7323333640610985,-0.6057456111638566,,,,,,
하이록코리아,소재,2025-11-05,매도,-0.032210862140172145,0.3205608256111533,-0.35277168775132545,0.40249385592209497,0.7323333640610985,-0.32983950813900353,,,,,,
덕산네오룩스,정보기술,2025-11-03,매수,-0.11910377358490566,0.17238801395727002,-0.2914917875421757,0.25,0.6431083955269193,-0.39310839552691934,,,,,,
에스에프에이,산업재,2025-11-03,매도,0.33820350750619954,0.17238801395727002,0.16581549354892952,0.35274919780518,0.6431083955269193,-0.29035919772173935,,,,,,
씨에스윈드,소재,2025-10-30,매도,-0.07628970599258494,0.26521883253670375,-0.3415085385292887,0.6767475249522865,0.6249569217882471,0.051790603164039384,,,,,,
미코,정보기술,2025-10-29,매수,-0.007838014369693011,0.24593563562467735,-0.25377364999437035,0.36185499673416066,0.6208740044949896,-0.259019007760829,,,,,,
대한광통신,기타,2025-10-28,매수,0.6722314969393434,0.2341855202394111,0.4380459766999323,7.914858096828047,0.6494647505189589,7.265393346309088,,,,,,
유진테크,산업재,2025-10-28,매수,-0.060674143139772055,0.2341855202394111,-0.2948596633791832,0.5306803491481875,0.6494647505189589,-0.1187844013707714,,,,,,
한글과컴퓨터,정보기술,2025-10-28,매도,0.007424761277039398,0.2341855202394111,-0.22676075896237172,-0.1353277352601929,0.6494647505189589,-0.7847924857791518,,,,,,
유니드,소재,2025-10-28,매도,0.11598315537147103,0.2341855202394111,-0.11820236486794009,0.3388071807589645,0.6494647505189589,-0.3106575697599944,,,,,,
대한유화,소재,2025-10-24,매수,0.18530129450048977,0.25648017036866405,-0.07117887586817429,0.181514389406239,0.6282591625898519,-0.44674477318361294,,,,,,
이녹스첨단소재,정보기술,2025-10-24,매도,0.0427183033250727,0.25648017036866405,-0.21376186704359135,0.39921675260827344,0.6282591625898519,-0.2290424099815785,,,,,,
농심,필수소비재,2025-10-24,매도,-0.04428896394680577,0.25648017036866405,-0.3007691343154698,-0.1057577545844898,0.6282591625898519,-0.7340169171743417,,,,,,
유비쿼스,정보기술,2025-10-23,매수,0.4109994086339444,0.27677896092376214,0.13422044771018227,0.8320520402128918,0.6612587288988785,0.17079331131401332,,,,,,
더블유게임즈,정보기술,2025-10-20,매도,0.011976050347060996,0.28572970060102515,-0.27375365025396414,0.054574538327869015,0.6303002181764189,-0.5757256798485499,,,,,,
동국제강,소재,2025-10-20,매도,-0.047288965593664245,0.28572970060102515,-0.3330186661946894,0.23191327330555933,0.6303002181764189,-0.39838694487085957,,,,,,
두산테스나,기타,2025-10-16,매도,-0.04896408596191851,0.2600410178278007,-0.30900510378971924,0.8446763639806758,0.5920919795609081,0.2525843844197677,,,,,,
제일기획,기타,2025-10-15,매도,0.10495906676518785,0.28309566101803985,-0.178136594252852,0.012268187704790571,0.5882349917581312,-0.5759668040533407,,,,,,
DL,소재,2025-10-15,매도,-0.036635006784260515,0.28309566101803985,-0.31973066780230036,0.7313432835820896,0.5882349917581312,0.14310829182395834,,,,,,
브이티,소재,2025-10-14,매수,-0.35703703703703704,0.2984381432423796,-0.6554751802794166,-0.4177777777777778,0.6308056919466448,-1.0485834697244227,,,,,,
포스코퓨처엠,기타,2025-10-14,매도,0.12777436671253042,0.2984381432423796,-0.17066377652984918,0.28828356845059017,0.6308056919466448,-0.34252212349605465,,,,,,
SK스퀘어,금융,2025-10-10,매수,0.742914979757085,0.2608347626596979,0.4820802170973871,1.3400809716599191,0.6264165747854252,0.7136643968744939,,,,,,
화승엔터프라이즈,기타,2025-10-10,매도,-0.15404040404040403,0.2608347626596979,-0.41487516670010194,-0.1738816738816739,0.6264165747854252,-0.8002982486670991,,,,,,
LX인터내셔널,기타,2025-10-02,매도,0.050903246425602296,0.21425047552671136,-0.16334722910110908,0.5500275236931556,0.4235449625535612,0.12648256113959433,,,,,,
오리온,필수소비재,2025-10-02,매도,-0.0019361526817403146,0.21425047552671136,-0.2161866282084517,0.2722153144906319,0.4235449625535612,-0.1513296480629293,,,,,,
SK가스,기타,2025-10-01,매수,-0.04255319521653832,0.21943782726766645,-0.26199102248420475,0.1430319197575827,0.5270715531102614,-0.38403963335267877,,,,,,
하나투어,기타,2025-07-01,매수,-0.08043889871225048,0.1105497611022689,-0.19098865981451937,-0.1042048943706454,0.3660318133106644,-0.4702367076813098,-0.2352897296036964,0.7080575377437555,-0.9433472673474519,,,
넷마블,정보기술,2025-06-30,매수,0.01612905339225401,0.11703942946265615,-0.10091037607040214,-0.2193548968286987,0.37401443034290405,-0.5933693271716027,-0.14501636261788786,0.7706384749957538,-0.9156548376136416,,,
원익머트리얼즈,소재,2025-06-30,매수,0.49318176777813516,0.11703942946265615,0.376142338315479,0.4346148301748706,0.37401443034290405,0.06060039983196658,0.9405417992703564,0.7706384749957538,0.16990332427460264,,,
엠앤씨솔루션,산업재,2025-06-27,매수,0.3567362405781885,0.13585678186613065,0.22087945871205783,-0.14484501763424487,0.34447017806797564,-0.4893151957022205,-0.3028046633285295,0.8174178905228275,-1.120222553851357,,,
한국카본,소재,2025-06-27,매수,0.28260849598896587,0.13585678186613065,0.14675171412283522,0.2569166330234161,0.34447017806797564,-0.08755354504455953,0.868847627821391,0.8174178905228275,0.05142973729856348,,,
한섬,기타,2025-06-26,매도,-0.09323060676706564,0.127479193948126,-0.22070980071519164,-0.027316094904058348,0.3369831228746623,-0.36429921777872065,0.4637770021696066,0.7553643693081541,-0.2915873671385475,,,
현대제철,소재,2025-06-25,매수,0.16801276785720134,0.12159251714188048,0.04642025071532087,-0.009693239709373294,0.320978098859889,-0.3306713385692623,0.11470093280879087,0.739161907825947,-0.6244609750171561,,,
해성디에스,정보기술,2025-06-25,매도,0.10603268251304902,0.12159251714188048,-0.015559834628831454,1.0914072542064928,0.320978098859889,0.7704291553466038,0.9663629274051518,0.739161907825947,0.2272010195792048,,,
JW중외제약,기타,2025-06-24,매도,-0.03904556179588575,0.11760707504710517,-0.1566526368429909,0.20824299624472434,0.32294026301180984,-0.1146972667670855,0.29501046824631943,0.7417452369158598,-0.44673476866954037,,,
두산밥캣,산업재,2025-06-23,매수,-0.03610690765500159,0.15066659679966476,-0.18677350445466634,0.03845919408483183,0.362073669894128,-0.32361447580929614,0.09944249362856174,0.9178164823330568,-0.8183739887044951,,,
한세실업,기타,2025-06-23,매도,0.039233821822913885,0.15066659679966476,-0.11143277497675089,0.40669802044470293,0.362073669894128,0.044624350550574954,0.18086023951119518,0.9178164823330568,-0.7369562428218617,,,
산일전기,에너지 / 유틸리티,2025-06-20,매수,0.46463414634146344,0.14542793402554338,0.31920621231592006,0.7085365853658536,0.34236418676308067,0.36617239860277295,0.7048780487804878,0.86657129974275,-0.16169325096226228,,,
HL만도,정보기술,2025-06-19,매도,0.04619978397775512,0.14630555842287782,-0.1001057744451227,0.5558867574008487,0.3430084211273706,0.21287833627347807,0.5201190753812374,0.8637792808832268,-0.3436602055019894,,,
이마트,기타,2025-06-18,매수,-0.057247235537608,0.16063245794962908,-0.21787969348723707,0.08891601476446463,0.3762882482386774,-0.28737223347421276,0.1376370981984889,0.8672595651913203,-0.7296224669928314,,,
미코,정보기술,2025-06-18,매수,0.10072895957587806,0.16063245794962908,-0.059903498373751016,-0.08813783962889331,0.3762882482386774,-0.4644260878675707,-0.09675281643472498,0.8672595651913203,-0.9640123816260453,,,
ESR켄달스퀘어리츠,기타,2025-06-18,매수,0.08452351698039012,0.16063245794962908,-0.07610894096923895,0.059124195213053496,0.3762882482386774,-0.3171640530256239,0.0542094657689094,0.8672595651913203,-0.8130500994224109,,,
오뚜기,필수소비재,2025-06-18,매도,0.0857874940920831,0.16063245794962908,-0.07484496385754598,-0.0025607709697718383,0.3762882482386774,-0.37884901920844927,-0.06274005669500571,0.8672595651913203,-0.929999621886326,,,
농심,필수소비재,2025-06-18,매도,0.25802306957087956,0.16063245794962908,0.09739061162125048,0.1052631716267567,0.3762882482386774,-0.2710250766119207,-0.07188709367401287,0.8672595651913203,-0.9391466588653332,,,
HDC,금융,2025-06-17,매수,-0.050218176897429086,0.1549028919777674,-0.2051210688751965,-0.18777277658108915,0.3864996848423703,-0.5742724614234594,0.07641936993795222,0.8811137870064031,-0.8046944170684509,,,
