종목명,섹터,변동일자,매수매도,기준주가,90일후_주가,180일후_주가,270일후_주가,360일후_주가,90일_시장수익률,180일_시장수익률,270일_시장수익률,360일_시장수익률,개인_90진입_180매도_종목수익률,개인_90진입_180매도_시장수익률,개인_90진입_180매도_초과수익률,개인_90진입_360매도_종목수익률,개인_90진입_360매도_시장수익률,개인_90진입_360매도_초과수익률,개인_180진입_360매도_종목수익률,개인_180진입_360매도_시장수익률,개인_180진입_360매도_초과수익률
해성디에스,정보기술,2023-06-29,매수,55945.83,52577.85,49771.2,45298.46,42443.51,-0.0333134448048336,0.0206155512336089,0.0735484613421195,0.0841993236496113,-0.053380843834428406,0.05578746880115082,-0.10916831263557922,-0.1927492280494542,0.121562431817126,-0.3143116598665802,-0.14722751309994525,0.06229943521745218,-0.20952694831739743
세아제강,소재,2023-06-29,매수,134875.45,120733.18,123788.61,129524.7,117682.45,-0.0333134448048336,0.0206155512336089,0.0735484613421195,0.0841993236496113,0.025307293322349395,0.05578746880115082,-0.030480175478801424,-0.025268364504272944,0.121562431817126,-0.14683079632139895,-0.04932731694781938,0.06229943521745218,-0.11162675216527157
씨에스윈드,소재,2023-06-29,매수,81138.59,51599.22,62960.52,48555.91,43166.11,-0.0333134448048336,0.0206155512336089,0.0735484613421195,0.0841993236496113,0.2201835609142928,0.05578746880115082,0.164396092113142,-0.16343483486765886,0.121562431817126,-0.28499726668478487,-0.3143940043697224,0.06229943521745218,-0.3766934395871746
와이지엔터테인먼트,기타,2023-06-29,매도,77141.87,61792.21,49050.03,45139.88,38457.99,-0.0333134448048336,0.0206155512336089,0.0735484613421195,0.0841993236496113,-0.20621013554944873,0.05578746880115082,-0.26199760435059954,-0.37762397557879873,0.121562431817126,-0.49918640739592474,-0.21594359881125458,0.06229943521745218,-0.27824303402870676
대상,필수소비재,2023-06-29,매도,15183.82,16644.31,18879.58,18074.42,25542.96,-0.0333134448048336,0.0206155512336089,0.0735484613421195,0.0841993236496113,0.13429634511734043,0.05578746880115082,0.07850887631618961,0.5346361609462932,0.121562431817126,0.4130737291291672,0.352941114156141,0.06229943521745218,0.2906416789386888
이수페타시스,정보기술,2023-06-28,매수,25168.88,25862.51,28339.76,37382.66,51798.85,-0.0394744433977516,0.0149755468049748,0.0676159453531122,0.0782079501304494,0.09578536654021594,0.05668770583818428,0.03909766070203166,1.0028547113176565,0.12251875311312821,0.8803359582045283,0.8277801223440142,0.06229943521745218,0.765480687126562
LX인터내셔널,기타,2023-06-28,매수,29586.0,24354.85,27356.33,23034.57,26197.92,-0.0394744433977516,0.0149755468049748,0.0676159453531122,0.0782079501304494,0.12323951902803768,0.05668770583818428,0.0665518131898534,0.07567568677286043,0.12251875311312821,-0.046843066340267775,-0.04234522686339883,0.06229943521745218,-0.10464466208085102
원익머트리얼즈,소재,2023-06-28,매도,29732.26,24649.0,28917.02,32917.21,31760.53,-0.0394744433977516,0.0149755468049748,0.0676159453531122,0.0782079501304494,0.17315185200210964,0.05668770583818428,0.11646414616392536,0.2885119071767617,0.12251875311312821,0.16599315406363346,0.09833343823118697,0.06229943521745218,0.036034003013734786
에스티팜,기타,2023-06-27,매도,76679.79,74811.95,60459.06,91283.27,91977.06,-0.033172006700227,0.0082127056332922,0.0605023581405857,0.0785894907897413,-0.19185290585260778,0.04280462773142668,-0.23465753358403446,0.2294434244796453,0.11559605045001597,0.11384737402962933,0.5213114461256924,0.06980350948091174,0.4515079366447806
대덕전자,정보기술,2023-06-23,매수,28928.25,24850.47,26529.56,21876.09,21714.63,-0.021450575797962,0.0171977547536698,0.0334888996336133,0.0677016432778924,0.06756773614342103,0.03949553246444104,0.028072203678979987,-0.1261883578057075,0.09110650609043458,-0.21729486389614208,-0.18149302136937062,0.049650019662551115,-0.23114304103192174
